equipment_units,customer_id
1,C531599
2,4013245
1,C528031
1,310480
1,E00323
3,310340
1,E00308
2,E03987
8,C511657
2,PUZ073
1,C511660
2,C506340
1,450750
1,E06734
2,C507732
1,C506358
1,C506355
1,C507737
3,C522593
5,451310
9,C522582
1,C506335
6,450650
1,C506385
3,C506329
1,C506370
1,541030
3,4009942
17,4028133
1,E01375
2,E01824
1,C501135
1,349831
4,346870
4,346870
3,344610
1,344620
1,C521122
1,E01838
3,342054
3,342054
8,110060
8,C505221
1,140040
1,140050
2,4008441
1,340407
1,E05194
4,541220
1,C504325
10,540050
6,C521101
3,340266
5,140030
3,C502132
1,4030210
1,E06241
1,340860
4,E00621
3,E05189
3,E05189
2,C511511
1,4029393
1,340778
1,4015098
1,C504323
1,C501143
1,341739
1,550039
1,E02342
1,340779
1,C502138
1,140170
2,340364
1,540340
1,340243
5,E06233
3,541150
3,E07633
9,347540
1,C530734
5,540100
2,E01829
2,C527372
1,E07750
1,E02334
2,C527081
1,340386
1,C525032
0,349001
1,340196
1,342057
2,E02302
1,C503727
2,E01842
1,C527763
1,340774
1,340774
2,340802
3,C527770
1,4030168
2,341744
1,348990
1,E07740
1,4020429
1,347760
3,341741
2,E08869
4,C529431
1,4029294
1,E08871
1,541260
5,340781
2,C502147
2,341057
1,340878
1,E08865
1,E08859
1,550029
1,E01828
1,E01372
21,340235
2,340166
1,E08410
1,E06237
1,341036
1,C525022
1,E08404
1,E08404
2,347610
1,4012035
1,340238
2,340367
2,E01835
5,340842
1,349800
3,140235
1,C529711
1,C504344
20,340161
1,340242
1,C521665
2,E02322
2,C503720
8,E01817
8,E01817
1,E01367
1,E01367
2,E05191
1,4030226
5,341024
5,341024
2,C528415
1,C527760
1,349860
2,4010015
2,E00658
3,C514556
1,E07749
6,540240
1,C529755
4,C501107
1,E02331
1,C529713
6,E03170
2,540250
2,540250
2,541190
2,E01643
2,140248
1,C504334
1,C506708
2,E00673
1,E00705
1,C504211
1,320010
5,340383
6,140010
1,E00643
2,340782
2,341049
3,140230
4,140250
1,C505207
1,E01369
1,E01371
2,540970
1,550011
8,349790
1,540370
14,345200
1,540080
1,C504352
7,340387
1,C502141
1,E00704
2,540010
8,C529464
12,349370
