work_order_sales,otc_sales,customer_id,total_channel_sales
0,0,C531599,0
0,0,C527998,0
0,0,310650,0
0,0,C528040,0
0,0,C528031,0
0,0,E03985,0
0,0,C511657,0
0,0,C506340,0
3813,0,E06734,3813
0,0,C507732,0
0,0,C522593,0
70,0,451310,70
0,0,C522582,0
4186,13112,450650,17298
0,0,C506329,0
0,0,C522622,0
37174,8443,346870,45617
0,0,344610,0
0,0,341027,0
0,0,342054,0
0,0,C505221,0
0,0,541220,0
0,0,C529398,0
51008,885,540050,51893
0,0,C521101,0
2633,726,140030,3359
0,0,C502132,0
0,0,E00624,0
0,644,E00621,644
0,0,C530727,0
0,0,E05189,0
0,0,C511511,0
1818,0,341739,1818
0,0,E02851,0
8871,1895,140170,10766
0,0,C527408,0
255,0,E06233,255
912,0,541150,912
471,58,E07633,529
1116,3323,347540,4439
0,0,C530734,0
0,0,C530552,0
0,0,C527372,0
0,0,C527081,0
0,43,349001,43
0,0,342057,0
3562,944,E02302,4506
0,0,C527763,0
0,0,340774,0
0,0,C531543,0
0,0,C527770,0
2712,101,E07740,2813
0,0,C531566,0
0,0,C529431,0
0,0,C502147,0
0,0,341057,0
9234,730,E08859,9964
487,10926,340235,11413
0,0,E08410,0
0,0,C525022,0
0,0,E08404,0
0,0,347610,0
112585,11233,340842,123818
6140,2217,140235,8357
0,0,C529711,0
0,0,C504344,0
93147,8273,340161,101420
0,0,C527771,0
0,0,C521665,0
0,0,E02322,0
0,0,C503720,0
0,0,E01817,0
0,0,E01367,0
8407,691,341024,9098
0,0,C528415,0
0,0,C527760,0
0,0,C529756,0
0,0,C529435,0
0,0,E00654,0
0,0,C514556,0
0,268,540240,268
0,0,C530547,0
0,0,C529755,0
0,0,C501107,0
0,0,C529713,0
8404,0,E03170,8404
0,0,540250,0
0,0,541190,0
1999,1442,140248,3441
0,0,C506708,0
0,0,E00673,0
0,0,E00705,0
0,0,C504211,0
49922,1270,140010,51192
0,679,140250,679
0,0,C505207,0
0,0,E01369,0
10807,811,540970,11618
2599,0,349790,2599
10157,102,345200,10259
0,2162,540080,2162
0,0,E01639,0
0,0,E00704,0
